sim_time, iris/rotor_0?world_angular_velocity/z
1080.17, 64.9881
1080.17, 64.976
1080.18, 64.9699
1080.18, 64.9594
1080.18, 64.9539
1080.19, 64.9561
1080.19, 64.938
1080.2, 64.9246
1080.2, 64.9183
1080.2, 64.9275
1080.21, 64.9726
1080.21, 65.1239
1080.22, 65.2223
1080.22, 65.2642
1080.22, 65.3212
1080.23, 65.4036
1080.23, 65.4048
1080.24, 65.3911
1080.24, 65.3692
1080.24, 65.352
1080.25, 65.3011
1080.25, 65.2602
1080.26, 65.2174
1080.26, 65.1778
1080.26, 65.1558
1080.27, 65.1773
1080.27, 65.1684
1080.28, 65.1526
1080.28, 65.1319
1080.28, 65.0919
1080.29, 65.0777
1080.29, 65.0845
1080.3, 65.0841
1080.3, 65.0686
1080.3, 65.0478
1080.31, 65.0282
1080.31, 65.006
1080.32, 64.9949
1080.32, 64.998
1080.32, 65.0586
1080.33, 65.074
1080.33, 65.1074
1080.34, 65.1658
1080.34, 65.2029
1080.34, 65.2223
1080.35, 65.2375
1080.35, 65.2315
1080.36, 65.2168
1080.36, 65.2068
1080.36, 65.1797
1080.37, 65.1561
1080.37, 65.1481
1080.38, 65.1422
1080.38, 65.1892
1080.38, 65.2077
1080.39, 65.251
1080.39, 65.2976
1080.4, 65.3269
1080.4, 65.3317
1080.4, 65.3475
1080.41, 65.3584
1080.41, 65.3452
1080.42, 65.3241
1080.42, 65.2915
1080.42, 65.2636
1080.43, 65.245
1080.43, 65.2187
1080.44, 65.2328
1080.44, 65.2362
1080.44, 65.245
1080.45, 65.2911
1080.45, 65.3484
1080.46, 65.3265
1080.46, 65.3029
1080.46, 65.2957
1080.47, 65.2992
1080.47, 65.2821
1080.48, 65.2618
1080.48, 65.2325
1080.48, 65.1985
1080.49, 65.1494
1080.49, 65.0979
1080.5, 65.1106
1080.5, 65.1408
1080.5, 65.1382
1080.51, 65.0507
1080.51, 64.989
1080.52, 64.9676
1080.52, 65.033
1080.52, 65.1004
1080.53, 65.1165
1080.53, 65.0937
1080.54, 65.0637
1080.54, 65.0962
1080.54, 65.1438
1080.55, 65.1267
1080.55, 65.1143
1080.56, 65.131
1080.56, 65.0803
1080.56, 65.0195
1080.57, 64.9869
1080.57, 64.9748
1080.58, 64.9669
1080.58, 65.0197
1080.58, 65.0506
1080.59, 65.0564
1080.59, 65.0382
1080.6, 64.9992
1080.6, 64.9802
1080.6, 64.9874
1080.61, 65.0406
1080.61, 65.058
1080.62, 65.0548
1080.62, 65.0478
1080.62, 65.0216
1080.63, 64.9862
1080.63, 65.0542
1080.64, 65.1202
1080.64, 65.1716
1080.64, 65.2207
1080.65, 65.2532
1080.65, 65.2348
1080.66, 65.2059
1080.66, 65.1735
1080.66, 65.1449
1080.67, 65.129
1080.67, 65.1639
1080.68, 65.1651
1080.68, 65.1518
1080.68, 65.1458
1080.69, 65.1383
1080.69, 65.1233
1080.7, 65.0991
1080.7, 65.0794
1080.7, 65.0646
1080.71, 65.0568
1080.71, 65.0422
1080.72, 65.0346
1080.72, 65.0201
1080.72, 65.0004
1080.73, 65.0762
1080.73, 65.1424
1080.74, 65.2113
1080.74, 65.2749
1080.74, 65.2959
1080.75, 65.2937
1080.75, 65.2752
1080.76, 65.2551
1080.76, 65.2332
1080.76, 65.2225
1080.77, 65.2099
1080.77, 65.1902
1080.78, 65.1716
1080.78, 65.1642
1080.78, 65.2521
1080.79, 65.315
1080.79, 65.3743
1080.8, 65.4195
1080.8, 65.4463
1080.8, 65.4391
1080.81, 65.4278
1080.81, 65.414
1080.82, 65.4043
1080.82, 65.396
1080.82, 65.3496
1080.83, 65.3044
1080.83, 65.2662
1080.84, 65.2132
1080.84, 65.2021
1080.84, 65.1945
1080.85, 65.1859
1080.85, 65.1831
1080.86, 65.1971
1080.86, 65.1936
1080.86, 65.2056
1080.87, 65.2017
1080.87, 65.1957
